log_name,unique_activities,num_traces,ratio_trace_variants,min_trace_length,avg_trace_length,max_trace_length,used_for_intrinsic,used_for_next_activity,used_for_runtime
BPIC12,24,13087,0.33,3,20.04,175,1,0,0
BPIC12_A,10,13087,0.00,3,4.65,8,1,1,0
BPIC12_Complete,23,13087,0.33,3,12.57,96,1,0,0
BPIC12_O,7,5015,0.03,3,6.23,30,1,1,0
BPIC12_W,7,9658,0.27,2,17.61,156,1,1,0
BPIC12_W_Complete,6,9658,0.23,1,7.50,74,1,0,0
BPIC13_closed_problems,7,1487,0.22,1,4.48,35,1,1,0
BPIC13_incidents,4,7554,0.20,1,8.68,123,1,1,0
BPIC13_open_problems,3,819,0.13,1,2.87,22,1,1,0
BPIC15_1,398,1199,0.98,2,43.55,101,1,1,1
BPIC15_2,410,832,1.00,1,53.31,132,1,1,0
BPIC15_3,383,1409,0.96,3,42.36,124,1,1,0
BPIC15_4,356,1053,1.00,1,44.91,116,1,1,0
BPIC15_5,389,1156,1.00,5,51.11,154,1,1,0
BPIC17,26,31509,0.51,10,38.16,180,1,0,0
BPIC18,41,43809,0.65,24,57.39,2973,1,0,0
BPIC19,42,251734,0.05,1,6.34,990,1,0,1
BPIC20_DomesticDeclarations,17,10500,0.01,1,5.37,24,1,1,0
BPIC20_InternationalDeclarations,34,6449,0.12,3,11.19,27,1,1,0
BPIC20_PermitLog,51,7065,0.21,3,12.25,90,1,1,0
BPIC20_PrepaidTravelCost,29,2099,0.10,1,8.69,21,1,1,0
BPIC20_RequestForPayment,19,6886,0.01,1,5.34,20,1,1,0
CCC19,29,20,1.00,52,69.70,118,1,0,0
Env Permit,27,1434,0.08,1,5.98,25,1,1,0
Helpdesk,14,4580,0.05,2,4.66,15,1,1,0
Hospital Billing,18,100000,0.01,1,4.51,217,1,0,0
Nasa,47,2566,0.98,12,28.70,50,0,1,0
RTFM,11,150370,0.00,2,3.73,20,1,0,0
Sepsis,16,1050,0.81,3,14.49,185,1,1,0
